id,temperature,humidty,light,voltage,peak_day,lifespan
1,19.9884,37.0933,45.08,2.69964,0,1
2,19.3024,38.4629,45.08,2.68742,0,1
3,19.1652,38.8039,45.08,2.68742,0,1
4,19.175,38.8379,45.08,2.69964,0,1
5,19.1456,38.9401,45.08,2.68742,0,1
6,19.1652,38.872,45.08,2.68742,0,1
7,19.1652,38.8039,45.08,2.68742,0,1
8,19.1456,38.8379,45.08,2.69964,0,1
9,19.1456,38.872,45.08,2.68742,0,1
10,19.1456,38.9401,45.08,2.69964,0,1
11,19.1358,38.9061,45.08,2.68742,0,1
12,19.1162,38.8039,45.08,2.69964,0,1
13,19.1162,38.872,45.08,2.69964,0,1
14,19.1064,39.0082,45.08,2.69964,0,1
15,19.1064,38.872,43.24,2.69964,0,1
16,19.0966,38.8039,43.24,2.69964,0,1
17,19.0966,38.7357,43.24,2.69964,0,1
18,19.0868,38.8039,43.24,2.69964,0,1
19,19.0672,38.9061,43.24,2.68742,0,1
20,89.5488,29.2581,11.96,1.95368,0,1
21,19.567,39.6878,121.44,2.67532,0,1
22,19.5376,39.7557,121.44,2.67532,0,1
23,19.4788,39.6878,121.44,2.66332,0,1
24,19.4494,39.7217,121.44,2.67532,0,1
25,19.4984,39.586,121.44,2.67532,0,1
26,19.4788,39.5521,121.44,2.66332,0,1
27,19.4592,39.5181,121.44,2.67532,0,1
28,19.4494,39.5521,121.44,2.67532,0,1
29,19.4788,39.4162,121.44,2.68742,0,1
30,19.469,39.3483,121.44,2.67532,1,1
31,19.4788,39.4842,121.44,2.66332,1,1
32,19.4592,39.5521,121.44,2.67532,1,1
33,19.4592,39.5521,121.44,2.67532,1,1
34,19.4494,39.5521,121.44,2.67532,1,1
35,19.4396,39.5521,121.44,2.67532,1,1
36,19.4396,39.4162,121.44,2.67532,1,1
37,19.4396,39.3483,121.44,2.67532,1,1
38,19.4396,39.3483,121.44,2.67532,1,1
39,122.153,-3.91901,19.32,2.08393,1,1
40,20.204,36.8871,50.6,2.69964,1,1
41,122.153,-3.91901,235.52,2.12875,1,1
42,122.153,-3.91901,397.44,2.1364,1,1
43,122.153,-3.91901,235.52,2.1364,1,1
44,122.153,-3.91901,397.44,2.1364,1,1
45,122.153,-3.91901,397.44,2.1364,1,1
46,122.153,-3.91901,382.72,2.1364,1,1
47,122.153,-3.91901,382.72,2.1364,1,1
48,122.153,-3.91901,397.44,2.1364,1,1
49,19.4396,38.6334,50.6,2.68742,1,1
50,19.4102,38.7357,48.76,2.67532,1,1
51,19.4102,38.7357,48.76,2.68742,1,1
52,19.4004,38.8039,50.6,2.68742,1,1
53,19.371,38.8039,48.76,2.68742,1,1
54,19.3612,38.872,48.76,2.68742,1,1
55,19.3612,38.872,48.76,2.68742,1,1
56,19.3612,38.9061,48.76,2.68742,1,1
57,19.3612,38.872,48.76,2.68742,1,1
58,19.3514,38.9742,48.76,2.68742,1,1
59,19.371,38.9401,48.76,2.67532,1,1
60,19.3808,38.9061,48.76,2.68742,2,1
61,23.0558,38.4629,368,2.51661,2,1
62,23.0362,38.4629,368,2.51661,2,1
63,22.9872,38.5993,368,2.51661,2,1
64,19.8806,38.8379,97.52,2.65143,2,1
65,19.8512,38.872,97.52,2.65143,2,1
66,19.8316,38.9742,97.52,2.65143,2,1
67,19.812,39.0763,97.52,2.65143,2,1
68,19.7924,39.0763,97.52,2.65143,2,1
69,19.7924,39.1103,97.52,2.65143,2,1
70,19.7826,39.2123,97.52,2.65143,2,1
71,19.7532,39.2803,97.52,2.65143,2,1
72,19.763,39.4162,97.52,2.65143,2,1
73,19.7434,39.5181,97.52,2.63964,2,1
74,19.7336,39.4842,97.52,2.65143,2,1
